role,skills
business lecturer,"apply teaching strategies, financial management, promote the participation of citizens in scientific and research activities, perform project management, compile course material, apply for research funding, conduct qualitative research, keep records of attendance, business law, business analysis, manage personal professional development, prepare lesson content, participate in scientific colloquia, serve on academic committee, perform scientific research, marketing principles, develop professional network with researchers and scientists, assist students in their learning, assessment processes, conduct scholarly research, synthesise information, mentor individuals, assist students with their dissertation, business processes, give constructive feedback, monitor developments in field of expertise, scientific research methodology, teach business principles, discuss research proposals, speak different languages, perform classroom management, liaise with educational support staff, demonstrate when teaching, increase the impact of science on policy and society, supervise doctoral students, draft scientific or academic papers and technical documentation, develop learning curriculum, provide career counselling, write work-related reports, assist in the organisation of school events, evaluate research activities, conduct quantitative research, disseminate results to the scientific community, apply intercultural teaching strategies, demonstrate disciplinary expertise, think abstractly, supervise educational staff, interact professionally in research and professional environments, present reports, conduct research across disciplines, manage open publications, manage research data, curriculum objectives, communicate with a non-scientific audience, guarantee students' safety, establish collaborative relations, provide technical expertise, facilitate teamwork between students, write scientific publications, assist students with equipment, teach economic principles, work with virtual learning environments, apply research ethics and scientific integrity principles in research activities, business management principles, assess students, promote open innovation in research, human resource management, manage findable accessible interoperable and reusable data, monitor educational developments, operate open source software, promote the transfer of knowledge, funding methods, corporate law, learning difficulties, manage intellectual property rights, liaise with educational staff, manage resources for educational purposes, publish academic research, business strategy concepts, apply blended learning, marketing management, provide lesson materials, teach in academic or vocational contexts, develop course outline, risk management, integrate gender dimension in research, university procedures"
business manager,"financial management, develop professional network, business law, shape organisational teams based on competencies, keep updated on the political landscape, corporate social responsibility, financial statements, build business relationships, assume responsibility for the management of a business, create a financial plan, financial jurisdiction, business loans, describe the financial situation of a region, financial forecasting, business process modelling, prospect new regional contracts, make strategic business decisions, liaise with managers, negotiate with stakeholders, report on overall management of a business, develop business plans, oversee quality control, marketing principles, execute marketing plan, develop revenue generation strategies, synthesise financial information, market entry planning, analyse business plans, abide by business ethical code of conducts, subsidiary operations, shape corporate culture, follow company standards, analyse financial risk, speak different languages, ensure lawful business operations, collaborate in company's daily operations, apply business acumen, create a financial report, prepare financial statements, banking activities, manage relationships with stakeholders, accounting, manage staff, recruit employees, manage financial risk, manage office facility systems, business communication, impart business plans to collaborators, supply chain management, analyse market financial trends, integrate strategic foundation in daily performance, interact with the board of directors, develop organisational policies, create a work atmosphere of continuous improvement, maintain relationship with customers, develop company strategies, risk identification, manage budgets, project management, strategic planning, integrate headquarter's guidelines into local operations, strive for company growth, control financial resources, plan health and safety procedures, manage contracts, analyse business processes, follow the statutory obligations, conclude business agreements, liaise with local authorities, cost management, plan medium to long term objectives, business management principles, establish communication with foreign cultures, human resource management, share good practices across subsidiaries, corporate law, organise participation in local or international events, exercise stewardship, company policies, align efforts towards business development, track key performance indicators, marketing management, evaluate performance of organisational collaborators, international trade"
business service manager,"communication principles, apply company policies, negotiate sales contracts, identify clients' needs, maintain professional administration, maintain contract administration, facilities management in the organisation, plan facilities management policies, make strategic business decisions, analyse staff capacity, apply system organisational policies, consult with business clients, manage budgets, implement strategic planning, budget for financial needs, carry out strategic research, develop business plans, identify necessary human resources, ensure compliance with purchasing and contracting regulations, perform clerical duties, manage staff, strategic planning, coach employees, recruit employees, promote facilities management services, company policies, programme work according to incoming orders, communication, control financial resources, organisational policies, manage contracts, negotiate service with providers, keep personal administration, human resources department processes, contract law, write work-related reports, manage physical resources, manage administrative systems, implement strategic management, conclude business agreements, office administration, assist in developing practices for well being of employees"
business studies and economics teacher secondary school,"teach business principles, apply teaching strategies, assist in the organisation of school events, instructional strategies, assign homework, compile course material, economics, keep records of attendance, business law, teach economic principles, secondary school procedures, work with virtual learning environments, business management principles, assess students, maintain students' discipline, perform classroom management, prepare lesson content, financial jurisdiction, escort students on a field trip, apply intercultural teaching strategies, monitor student's behaviour, liaise with educational support staff, demonstrate when teaching, identify learning disorders, manage student relationships, monitor educational developments, consult student's support system, oversee extra-curricular activities, corporate law, learning difficulties, adapt teaching to student's capabilities, liaise with educational staff, assist students in their learning, curriculum objectives, manage resources for educational purposes, identify cross-curricular links with other subject areas, guarantee students' safety, business strategy concepts, mathematics, adolescent socialisation behaviour, perform playground surveillance, statistics, provide lesson materials, facilitate teamwork between students, prepare youths for adulthood, arrange parent teacher meeting, recognise indicators of gifted student, post-secondary school procedures, business processes, develop course outline, give constructive feedback, monitor developments in field of expertise, disability types, commercial law"
business valuer,"disseminate information on tax legislation, investment analysis, insolvency law, value-added tax law, analyse business plans, business law, determine resale value of items, tax legislation, pricing strategies, investment banking, financial statements, business valuation techniques, stock market, create a financial report, perform stock valuation, perform asset recognition, trade securities, intellectual property law, market pricing, review investment portfolios, financial markets, value properties, property law, liaise with financiers, liaise with managers, advise on tax planning, assist with litigation matters, strategic planning, use consulting techniques, negotiate on asset value, estimate value of used goods, compare property values, interpret financial statements, manage brand assets, advise on property value, public offering, apply strategic thinking, mergers and acquisitions, advise on bankruptcy proceedings, security of assets legislation"
butcher,"legislation about animal origin products, measure precise food processing operations, produce meat-based jelly preparations, tend meat packaging machine, cultural practices regarding animal parts sorting, provide first aid, consider economic criteria in decision making, apply requirements concerning manufacturing of food and beverages, act reliably, control of expenses, identify the factors causing changes in food during storage, handle knives for cutting activities, implement marketing strategies, handle glassware, trace meat products, tolerate strong smells, ensure refrigeration of food in the supply chain, follow hygienic procedures during food processing, have computer literacy, operate weighing machine, dispose food waste, grind meat, operate metal contaminants detector, mark differences in colours, implement sales strategies, handle knives for meat processing activities, food storage, care for food aesthetic, work in a food processing team, manage budgets, lift heavy weights, adapt efficient food processing practices, liaise with managers, tend meat processing production machines, handle customer complaints, ensure compliance with environmental legislation in food production, prepare meat for sale, warm blooded animal organs, work in cold environments, recruit employees, work according to recipe, liaise with colleagues, select adequate ingredients, keep inventory of goods in production, cope with blood, operate meat processing equipment, animal anatomy for food production, maintain food specifications, split animal carcasses, negotiate terms with suppliers, analyse characteristics of food products at reception, process livestock organs, inspect raw food materials, negotiate improvement with suppliers, monitor stock level, process customer orders, apply HACCP, carry out end of day accounts, food allergies, monitor temperature in manufacturing process of food and beverages, ensure sanitation, prepare specialised meat products, follow an environmental friendly policy while processing food, manage challenging work conditions during food processing operations, execute chilling processes to food products, apply preservation treatments, apply GMP"
cabin crew instructor,"pre-flight procedures for IFR flights, train employees, teach air cabin crew procedures, provide high quality customer service, conduct full-scale emergency plan exercises, identify clients' needs, advise on teaching methods, assess students, cooperate with colleagues, pedagogy, communicate with customers, monitor customer service, common aviation safety regulations, analyse work-related written reports, evaluate education programmes, assist students in their learning, satisfy customers, coach employees, give instructions to staff, prepare examinations for vocational courses, use different communication channels, apply technical communication skills, teach customer service techniques, carry out pre-flight duties, write work-related reports, perform routine flight operations checks, provide food and beverages"
cabin crew manager,"deal with challenging work conditions, provide first aid, act reliably, execute flight plans, air transport law, conduct full-scale emergency plan exercises, have computer literacy, maintain relationship with customers, airport planning, common aviation safety regulations, analyse work-related written reports, provide information to passengers, follow verbal instructions, apply transportation management concepts, geostationary satellites, prepare flight reports, handle veterinary emergencies, upsell products, inspect cabin service equipment, give instructions to staff, use different communication channels, process customer orders, handle stressful situations in the work place, manage the customer experience, be friendly to passengers, sell souvenirs, carry out pre-flight duties, communicate verbal instructions, perform routine flight operations checks, deliver outstanding service, provide food and beverages"
cabinet maker,"design objects to be crafted, create smooth wood surface, engrave patterns, construction products, prepare furniture for application of paint, apply wood finishes, dye wood, use CAD software, sanding techniques, pass on trade techniques, clean wood surface, repair furniture parts, create furniture frames, handle delivery of furniture goods, wood products, organic building materials, engraving technologies, operate wood sawing equipment, apply a protective layer, CAD software, apply colour coats, create mock-ups, use substitute materials, furniture trends, sand wood, carve materials, manipulate glass, furniture industry, design original furniture, sell furniture, operate drilling equipment, clean furniture, fix minor scratches, stain wood, manipulate metal, technical drawings, types of wood, woodturning, repair furniture frames, tend boring machine, sell household goods, join wood elements, decorate furniture"
cable jointer,"electrical discharge, repair overhead power lines, electricity, maintain electrical equipment, respond to electrical power contingencies, ensure compliance with electricity distribution schedule, power engineering, provide power connection from bus bars, electrical power safety regulations, work ergonomically, inspect overhead power lines, transmission towers, transport construction supplies, calculate needs for construction supplies, install power lines, electricity consumption, ensure safety in electrical power operations, repair underground power cables, inspect construction supplies, wear appropriate protective gear, electric current, inspect underground power cables"
cacao bean roaster,"apply requirements concerning manufacturing of food and beverages, act reliably, taste cocoa beans, follow hygienic procedures during food processing, operate industrial ovens, assess cocoa bean quality, mark differences in colours, operate a heat treatment process, work in a food processing team, handle flammable substances, liaise with managers, follow verbal instructions, history of chocolate, ensure compliance with environmental legislation in food production, temperature scales, apply different roasting methods, screen cocoa beans, monitor roasting, stand high temperatures, apply HACCP, chemical reactions of roasting cacao beans, monitor temperature in manufacturing process of food and beverages, maintain kitchen equipment at correct temperature, collect samples for analysis, manage kiln ventilation, check processing parameters, maintain industrial ovens, tend fans for machines, roasted cacao beans, work independently in service of a food production process, exert quality control to processing food, liaise with colleagues, apply GMP"
cacao beans cleaner,"follow written instructions, assess quality characteristics of food products, handle delivery of raw materials, follow evaluation procedures of materials at reception, apply requirements concerning manufacturing of food and beverages, act reliably, perform services in a flexible manner, assess cocoa bean quality, ensure public safety and security, lift heavy weights, liaise with managers, follow verbal instructions, tend cocoa cleaning machines, ensure compliance with environmental legislation in food production, effects of pesticides in food raw materials, screen cocoa beans, analyse characteristics of food products at reception, carry out checks of production plant equipment, apply HACCP, check processing parameters, work in conveyor belts in food manufacturing, tend air-cleaning system, perform detailed food processing operations, work independently in service of a food production process, exert quality control to processing food, liaise with colleagues, apply GMP"
cadastral technician,"use geographic information systems, construction legal systems, manage cadastre, create cadastral maps, conduct land surveys, quality standards, operate GPS systems, compare survey computations, use CAD software, record survey data, CAD software, review construction plans authorisations, operate surveying instruments, comply with legal regulations, process collected survey data, visual presentation techniques, surveying methods, perform surveying calculations, deliver visual presentation of data, geographic information systems, document survey operations, collect data using GPS, respond to enquiries, concurrent estate, cartography, use data processing techniques"
cake press operator,"use personal protection equipment, plastic resins, set press-cycle time, inspect quality of products, quality standards, report defective manufacturing materials, types of plastic, mix moulding and casting material, move filled moulds, fill moulds, troubleshoot, operate rollers, consult technical resources, add colour, maintain equipment, monitor gauge, mechanics, monitor valves, feed hoppers, keep records of work progress, pallets loading, types of moulding, ensure mould uniformity, carry out work-related measurements, perform test run, maintain moulds, operate hydraulic machinery controls, optimise production processes parameters, replace filled pallets, monitor automated machines, assemble moulds, solve technical problems, trim excess material, write batch record documentation, extract products from moulds, operate lifting equipment, set up the controller of a machine, hydraulics, hydraulic press parts, measure materials"
calculation engineer,"production processes, check durability of materials, state estimation, inspect quality of products, record test data, check stability of materials, quality standards, use CAD software, run simulations, analyse test data, non-destructive testing, operate precision measuring equipment, create a product's virtual model, engineering principles, CAD software, balance hydraulics of hot water systems, project management, apply numeracy skills, use mathematical tools and equipment, manage product testing, engineering processes, communication, mathematics, check strength of materials, manage engineering project, develop test procedures, use non-destructive testing equipment, write technical reports, perform laboratory tests"
calibration technician,"electrical discharge, maintain test equipment, maintain electrical equipment, calibrate laboratory equipment, ensure conformity to specifications, electronic equipment standards, quality standards, report defective manufacturing materials, test electronic units, check system parameters against reference values, instrument performance elements, communicate test results to other departments, electrical equipment regulations, develop calibration procedures, measure electrical characteristics, develop material testing procedures, validate raw materials, metrology, calibrate electronic instruments, provide user support for electrical instruments, read standard blueprints, develop preventive maintenance procedures for instruments, research equipment needs, operate surveying instruments, keep records of work progress, write inspection reports, write records for repairs, use testing equipment, battery formation, quality assurance procedures, manage instrumentation systems, resolve equipment malfunctions, electronics, write calibration report, monitor machine operations, use measurement instruments, conduct quality control analysis, industrial software, interpret electrical diagrams, maintain electronic systems, assemble electronic units"
call centre agent,"provide customer follow-up services, communication principles, guarantee customer satisfaction, have computer literacy, speak different languages, answer incoming calls, communicate by telephone, think proactively, perform escalation procedure, listen actively, use customer relationship management software, handle helpdesk problems, perform data analysis, present reports, adapt to changing situations, perform multiple tasks at the same time, handle tasks independently, create solutions to problems, e-procurement, tolerate stress, characteristics of products, educate on data confidentiality, knowledge base, provide ICT support, credit card payments, process data, keep task records, characteristics of services, teamwork principles, apply operations for an ITIL-based environment, prioritise requests, e-commerce systems"
call centre analyst,"provide objective assessments of calls, call quality assurance management, ensure compliance with company regulations, complete evaluation forms of calls, have computer literacy, speak different languages, run simulations, information confidentiality, apply statistical analysis techniques, perform data analysis, apply numeracy skills, create solutions to problems, report call errors, analyse call performance trends, report accounts of the professional activity, train staff on call quality assurance, comply with legal regulations, use spreadsheets software, inspect data, call-centre technologies, use databases, analyse call centre activities, carry out statistical forecasts, teamwork principles, call routing, deliver visual presentation of data, gather data, write work-related reports, apply information security policies"
call centre manager,"teach marketing principles, manage key performance indicators of call centres, deliver a sales pitch, sales strategies, train employees, communication principles, call quality assurance management, coordinate operational activities, business analysis, subsidiary operations, follow company standards, corporate social responsibility, create a work atmosphere of continuous improvement, social media marketing techniques, information confidentiality, establish communication with foreign cultures, manage ICT project, monitor customer service, customer relationship management, analyse customer service surveys, analyse staff capacity, supervise the management of an establishment, report on overall management of a business, present reports, liaise with managers, develop online sales business plan, manage staff, create solutions to problems, recruit employees, analyse call performance trends, telemarketing, accounting techniques, call-centre technologies, strive for company growth, analyse call centre activities, plan health and safety procedures, identify customer's needs, manage contracts, e-commerce systems, measure customer feedback, assess the feasibility of implementing developments, supervise work, teach customer service techniques, perform market research, sales activities, perform risk analysis, evaluate performance of organisational collaborators, call routing, persuade clients with alternatives, interpret automatic call distribution data, product comprehension, customer service"
call centre quality auditor,"provide objective assessments of calls, sales strategies, train employees, communication principles, call quality assurance management, maintain high quality of calls, quality standards, guarantee customer satisfaction, provide feedback on job performance, business management principles, sales argumentation, information confidentiality, support implementation of quality management systems, teach communication methods, analyse staff capacity, present reports, provide feedback to performers, project management, advise on efficiency improvements, design questionnaires, measure call quality, report call errors, analyse call performance trends, telemarketing, train staff on call quality assurance, accounting techniques, write inspection reports, call-centre technologies, revise questionnaires, assess employees' capability levels, statistics, measure customer feedback, advise on organisational culture, sales activities, call routing, give constructive feedback, persuade clients with alternatives, type texts from audio sources, estimate profitability, customer service"
call centre supervisor,"provide customer follow-up services, train employees, perform project management, call quality assurance management, maintain high quality of calls, supervise data entry, abide by business ethical code of conducts, have computer literacy, speak different languages, secure sensitive customer's information, manage ICT project, analyse staff capacity, perform data analysis, use customer relationship management software, present reports, manage business knowledge, adapt to changing situations, manage staff, create solutions to problems, measure call quality, recruit employees, analyse call performance trends, tolerate stress, characteristics of products, build rapport with people from different cultural backgrounds, forecast workload, call-centre technologies, characteristics of services, teamwork principles, call routing, employment law, apply information security policies, interpret automatic call distribution data"
camera operator,"photography, use personal protection equipment, determine visual concepts, electricity, health and safety regulations, plan audiovisual recording, audiovisual equipment, practise camera movements, transfer uncut audiovisual material to computer, apply health and safety standards, file-based workflow, select camera apertures, set up cameras, keep up with trends, follow work schedule, work ergonomically, create special effects, plan shots, attend rehearsals, adapt to type of media, assess power needs, collaborate on costume and make-up for performances, cinematography, analyse the scenography, work with the lighting crew, assist multimedia operator, supervise camera crew, lighting techniques, operate a camera, analyse a script, use technical documentation, manage technical resources stock, follow safety procedures when working at heights, film production process, work with the director of photography, maintain audiovisual equipment, adapt artistic plan to location, study media sources, work with an artistic team, work with motion picture editing team, create moving images, follow directions of the artistic director, ensure visual quality of the set, use storyboards, set up audiovisual peripheral equipment"
campaign canvasser,"advocate a cause, vocal techniques, social media marketing techniques, present arguments persuasively, interview techniques, perform public relations, perform fundraising activities, interview people, liaise with politicians, listen actively, maintain professional records, influence voting behaviour, execute marketing plan, memorise script, conduct public surveys, comply with legal regulations, promote political campaign, use different communication channels, political campaigning, execute working instructions, advertising techniques, write work-related reports, conduct public presentations, canvassing methods, engage passers-by in conversation"
camping ground manager,"train employees, deal with departures in accommodation, local area tourism industry, implement marketing strategies, maintain customer records, manage medium term objectives, energy conservation, plan shifts of employees, plan medium to long term objectives, manage campsite supplies, supervise camp operations, process booking, process payments, comply with food safety and hygiene, manage inspections of equipment, provide tourism related information, implement sales strategies, greet guests, procure hospitality products, manage guest support services, manage budgets, deal with arrivals in accommodation, handle customer complaints, manage staff, manage health and safety standards, recruit employees, coach employees, maintain customer service, process reservations, manage maintenance operations, maintain camping facilities, manage front operations, ensure cross-department cooperation, develop working procedures, carry out end of day accounts, develop strategies for accessibility, monitor work for special events, supervise entertainment activities for guests, assist at check-in"
camping ground operative,"deal with departures in accommodation, implement marketing strategies, maintain customer records, run errands on behalf of customers, manage campsite supplies, process booking, detect drug abuse, comply with food safety and hygiene, assist clients with special needs, provide tourism related information, explain features in accommodation venue, greet guests, implement sales strategies, deal with arrivals in accommodation, assess cleanliness of areas, clean camping facilities, handle financial transactions, handle customer complaints, maintain customer service, distribute local information materials, process reservations, maintain camping facilities, identify customer's needs, carry out end of day accounts, maintain incident reporting records, assist at check-in"
candle maker,"ensure conformity to specifications, quality standards, ensure correct goods labelling, record production data, types of waxes, beeswax, fill moulds, construct moulds, candle making techniques, insert wick, repair mould defects, add scent, order supplies, use heat gun, use moulding techniques, ensure mould uniformity, dye candles, carve materials, cool candles in baths, maintain moulds, pack goods, select mould types, drip candles, grade candles, trim excess material, extract products from moulds, control temperature, set up the controller of a machine, shape candles, match product moulds, melt wax, tend wax bleaching machinery"
candy machine operator,"follow written instructions, apply requirements concerning manufacturing of food and beverages, act reliably, operate grain cleaning machine, mould chocolate, follow hygienic procedures during food processing, operate weighing machine, adhere to organisational guidelines, manufacturing of confectionery, crafting, operate a heat treatment process, ensure public safety and security, lift heavy weights, chemical aspects of chocolates, liaise with managers, follow verbal instructions, tend sweet making machines, apply extruding techniques, chemical aspects of sugar, ensure compliance with environmental legislation in food production, label samples, set up equipment for food production, clean food and beverage machinery, operate automated process control, apply HACCP, disassemble equipment, perform cleaning duties, administer ingredients in food production, maintain cutting equipment, be at ease in unsafe environments, exert quality control to processing food, liaise with colleagues, health, safety and hygiene legislation, produce confectionery from chocolate, apply GMP"
canning and bottling line operator,"measure precise food processing operations, label foodstuffs, handle chemical cleaning agents, apply requirements concerning manufacturing of food and beverages, perform services in a flexible manner, dispose non-food waste within the food industry, operate vacuum machines, tend canning machine, follow hygienic procedures during food processing, cleaning of reusable packaging, carbonation techniques, assist bottling, check bottles for packaging, tend bottle-washing machine, lift heavy weights, work in a food processing team, operate forklift, apply numeracy skills, ensure compliance with environmental legislation in food production, carry out checks of production plant equipment, manage carbonation levels, label samples, tend packaging machines, clean food and beverage machinery, operate automated process control, apply HACCP, monitor filling machines, check quality of products on the production line, work in conveyor belts in food manufacturing, manage challenging work conditions during food processing operations, make critical decisions regarding the processing of food, work independently in service of a food production process, exert quality control to processing food, health, safety and hygiene legislation, detect flaws in bottles, apply GMP"
canvas goods assembler,"assemble goods, create patterns for textile products, inspect quality of products, use weaving machine technologies, use manual sewing techniques, sew pieces of fabric, cut fabrics, fabric types, verify product specifications, ensure public safety and security, use pattern-cutting softwares, nonwoven machine technology, operate hot glue gun, prepare pieces for joining, operate handheld riveting equipment, record production data for quality control, apply restoration techniques, sew textile-based articles, manufacturing of sports equipment, textile printing technology, tend textile printing machines, tend riveting machine, apply footwear and leather goods quality control techniques, conduct textile testing operations, pack goods, properties of textile materials, rivet types, measure parts of manufactured products, technical drawings, apply machine cutting techniques for footwear and leather goods, dye fabrics, tend weaving machines"
capsule filling machine operator,"health and safety regulations, quality assurance methodologies, follow written instructions, control minor maintenance, plan maintenance activities, provide information, assemble machines, wear protective equipment against industrial noise, maintain equipment, business management principles, perform pill branding, inspect capsules, scoop medicinal preparations, make time-critical decisions, maintain work area cleanliness, manage capsule rings, eject filled capsules, scoop capsules"
car and van delivery driver,"use geographic information systems, follow written instructions, set payment handling strategies, operate mailing information systems, act reliably, interpret traffic signals, geographic areas, monitor merchandise delivery, handle paperwork, solve location and navigation problems by using GPS tools, operate GPS systems, obey traffic rules, drive in urban areas, health and safety measures in transportation, process payments, handle delivered packages, drive vehicles, handle delivery of furniture goods, communicate with customers, road traffic laws, follow verbal instructions, differentiate types of packages, drive two-wheeled vehicles, check deliveries on receipt, handle fragile items, use different communication channels, analyse travel alternatives, organise mail deliveries, drive at high speeds, maintain vehicle delivery documentation, ensure the integrity of mail, establish daily priorities, maintain vehicle appearance, data protection"
car driving instructor,"car controls, apply teaching strategies, teach driving theory, interpret traffic signals, ensure vehicles are equipped with accessibility equipment, engine components, operation of different engines, adapt to new technology used in cars, use geographic memory, mechanical components of vehicles, park vehicles, health and safety measures in transportation, drive in urban areas, assess students, drive vehicles, ensure vehicle operability, demonstrate when teaching, teach driving practices, road traffic laws, encourage students to acknowledge their achievements, driver's license structure, mechanics, adapt teaching to student's capabilities, adult education, learning difficulties, assist students in their learning, curriculum objectives, drive automatic car, read maps, diagnose problems with vehicles, guarantee students' safety, mechanics of motor vehicles, types of vehicle engines, perform defensive driving, types of vehicles, control the performance of the vehicle, customer service, give constructive feedback, monitor developments in field of expertise, show consideration for student's situation, operate an emergency communication system"
car leasing agent,"car controls, negotiate sales contracts, write leasing reports, guarantee customer satisfaction, have computer literacy, speak different languages, assist customers, financial jurisdiction, communicate by telephone, handle lease agreement administration, communicate with customers, financial capability, advise on vehicle characteristics, listen actively, use customer relationship management software, present reports, handle financial transactions, adapt to changing situations, perform multiple tasks at the same time, managing a business with great care, characteristics of products, prospect new customers, use different communication channels, identify customer's needs, types of vehicles, process data, meet deadlines, keep task records, characteristics of services, review completed contracts, achieve sales targets, contract law, teamwork principles, moderate in negotiations, record customers' personal data, leasing characteristics"
carbonation operator,"apply requirements concerning manufacturing of food and beverages, fermentation processes of beverages, dispose food waste, carbonation techniques, adhere to organisational guidelines, check bottles for packaging, perform carbonation processes, execute chilling processes to food products, monitor centrifugal separators, liaise with managers, ensure compliance with environmental legislation in food production, tend bottle cork machine, processes of foods and beverages manufacturing, manage carbonation levels, carry out checks of production plant equipment, label samples, clean food and beverage machinery, apply HACCP, monitor filling machines, biochemical processes of cider production, tend beverage gasifier equipment, keep machines oiled for steady functioning, be at ease in unsafe environments, liaise with colleagues, health, safety and hygiene legislation, detect flaws in bottles, apply GMP"
care home worker,"apply quality standards in social services, support social service users' positiveness, encourage social service users to preserve their independence in their daily activities, promote social change, older adults' needs, comply with legislation in social services, assist social service users with physical disabilities, support service users to use technological aids, adhere to organisational guidelines, apply decision making within social work, provide palliative care, manage stress in the work place, listen actively, prevent social problems, assist individuals with disabilities in community activities, conduct interview in social service, assess social service users' situation, evaluate older adults' ability to take care of themselves, communicate with social service users, social justice, refer service users to community resources, work in a multicultural environment in health care, support social service users with specific communication needs, social sciences, work within communities, relate empathetically, follow health and safety precautions in social care practices, legal requirements in the social sector, provide social counselling, tolerate stress, maintain privacy of service users, undertake continuous professional development in social work, apply socially just working principles, apply organisational techniques, accept own accountability, company policies, build helping relationship with social service users, demonstrate leadership in social service cases, contribute to protecting individuals from harm, support service users in developing skills, apply person-centred care, apply problem solving in social service, manage social crisis, support harmed social service users, meet standards of practice in social services, protect vulnerable social service users, monitor service users' health, promote inclusion, promote service users' rights, apply holistic approach within social services, assist social service users in formulating complaints, involve service users and carers in care planning, review social service plan, undertake risk assessment of social service users, support social service users in skills management, communicate professionally with colleagues in other fields, deliver social services in diverse cultural communities, maintain the trust of service users, report on social development, support social service users to live at home, advocate for social service users, customer service, maintain records of work with service users"
career guidance advisor,"counsel students, develop professional network, perform educational testing, application process, identify clients' needs, communicate about youth's well-being, psychological counselling methods, encourage counselled clients to examine themselves, maintain professional administration, identify education needs, assess prior learning, communicate with youth, assess students' preliminary learning experiences, labour market, labour legislation, monitor educational developments, listen actively, organise job search workshops, education law, encourage students to acknowledge their achievements, provide information on study programmes, project management, apply quality standards to the interaction with candidates, oversee extra-curricular activities, adult education, counselling methods, manage professional transition in an arts career, liaise with educational staff, facilitate job market access, curriculum objectives, create solutions to problems, use consulting techniques, job market offers, provide assistance with job search, establish educational network, assessment processes, coach clients, personal reflection techniques based on feedback, evaluate clients' progress, curriculum standards, organise projects to fill education needs, cooperate with education professionals, assist clients with personal development, assess candidates, advise on training courses, provide career counselling, counsel clients, psychology, work with different target groups, write work-related reports, have emotional intelligence, identify training needs, organise study information sessions, provide information on school services, provide information on education financing, university procedures"
cargo vehicle driver,"interpret traffic signals, operate GPS systems, stay alert, use communication devices, mechanical components of vehicles, manoeuvre heavy trucks, parallel park vehicles, road traffic laws, supervise loading of cargo, vehicle cargo capacity, read maps, supervise unloading of cargo, use different communication channels, road transport legislation, transport topography, practice emergency stops, anticipate foreseeable problems on the road, control the performance of the vehicle, types of cargo"
carpenter,"define part requirements, create smooth wood surface, identify wood warp, answer requests for quotation, apply wood finishes, install construction profiles, energy performance of buildings, asbestos removal regulations, clean wood surface, interpret 2D plans, work ergonomically, operate wood router, secure working area, keep track of wooden elements, construct wood roofs, operate table saw, wood cuts, woodworking tools, transport construction supplies, maintain equipment, operate crosscut saw, calculate needs for construction supplies, install insulation material, loading charts for transportation of goods, order construction supplies, follow health and safety procedures in construction, operate band saw, apply restoration techniques, keep records of work progress, create wood joints, create cutting plan, assess conservation needs, maintain work area cleanliness, sort waste, monitor stock level, build scaffolding, process incoming construction supplies, follow safety procedures when working at heights, program a CNC controller, use squaring pole, keep sawing equipment in good condition, inspect construction supplies, join wood elements, estimate restoration costs, set up temporary construction site infrastructure, use measurement instruments, keep personal administration, work in a construction team, types of wood, install wood elements in structures, snap chalk line, interpret 3D plans, use safety equipment in construction, install wood hardware, use sander"
carpenter supervisor,"create smooth wood surface, provide first aid, train employees, identify wood warp, answer requests for quotation, cost management, apply wood finishes, ensure compliance with construction project deadline, install construction profiles, plan shifts of employees, energy performance of buildings, asbestos removal regulations, negotiate supplier arrangements, supervise staff, interpret 2D plans, install wood hardware, work ergonomically, operate wood router, building codes, keep track of wooden elements, operate table saw, wood cuts, woodworking tools, operate crosscut saw, calculate needs for construction supplies, order construction supplies, liaise with managers, loading charts for transportation of goods, follow health and safety procedures in construction, operate band saw, evaluate employees work, apply restoration techniques, keep records of work progress, manage health and safety standards, recruit employees, create wood joints, create cutting plan, ensure equipment availability, assess conservation needs, process incoming construction supplies, monitor stock level, follow safety procedures when working at heights, provide technical expertise, manage contracts, construction product regulation, program a CNC controller, use squaring pole, advise on construction materials, inspect construction supplies, estimate restoration costs, keep personal administration, use measurement instruments, work in a construction team, types of wood, install wood elements in structures, interpret 3D plans, use safety equipment in construction, join wood elements, check compatibility of materials, use sander"
